                    ,open     ,high     ,low      ,close    ,volume     ,SMA_20
2024-10-04 19:55:00 ,124.4395 ,124.54   ,121.98   ,124.44   ,   97300.0 ,   
2024-10-04 19:50:00 ,124.44   ,124.45   ,124.41   ,124.43   ,   56950.0 ,   
2024-10-04 19:45:00 ,124.4799 ,124.48   ,124.42   ,124.44   ,   37963.0 ,   
2024-10-04 19:40:00 ,124.48   ,124.52   ,124.46   ,124.48   ,   17602.0 ,   
2024-10-04 19:35:00 ,124.535  ,124.59   ,124.4605 ,124.4605 ,   48702.0 ,   
2024-10-04 19:30:00 ,124.54   ,124.56   ,122.34   ,124.53   ,   26872.0 ,   
2024-10-04 19:25:00 ,124.515  ,124.55   ,122.33   ,124.545  ,   19985.0 ,   
2024-10-04 19:20:00 ,124.54   ,124.54   ,124.5    ,124.5199 ,   21298.0 ,   
2024-10-04 19:15:00 ,124.64   ,124.65   ,124.51   ,124.54   ,   48467.0 ,   
2024-10-04 19:10:00 ,124.61   ,124.92   ,122.28   ,124.645  ,  158733.0 ,   
2024-10-04 19:05:00 ,124.64   ,124.65   ,124.61   ,124.61   ,   15141.0 ,   
2024-10-04 19:00:00 ,124.64   ,124.68   ,124.61   ,124.62   ,   22993.0 ,   
2024-10-04 18:55:00 ,124.64   ,124.67   ,124.621  ,124.621  ,   36139.0 ,   
2024-10-04 18:50:00 ,124.69   ,124.7    ,124.64   ,124.645  ,   24263.0 ,   
2024-10-04 18:45:00 ,124.655  ,124.7    ,124.65   ,124.69   ,   34271.0 ,   
2024-10-04 18:40:00 ,124.65   ,124.68   ,124.65   ,124.65   ,   23850.0 ,   
2024-10-04 18:35:00 ,124.645  ,124.69   ,124.64   ,124.66   ,   22609.0 ,   
2024-10-04 18:30:00 ,124.63   ,124.65   ,124.63   ,124.65   ,    6267.0 ,   
2024-10-04 18:25:00 ,124.64   ,124.66   ,124.63   ,124.63   ,   18013.0 ,   
2024-10-04 18:20:00 ,124.64   ,124.66   ,124.63   ,124.6499 ,   28106.0 ,124.57281499999999
2024-10-04 18:15:00 ,124.63   ,124.66   ,124.63   ,124.64   ,   17177.0 ,124.58281500000001
2024-10-04 18:10:00 ,124.62   ,124.64   ,124.61   ,124.63   ,   15782.0 ,124.592815
2024-10-04 18:05:00 ,124.63   ,124.64   ,124.61   ,124.6299 ,   13915.0 ,124.60231000000002
2024-10-04 18:00:00 ,124.6195 ,124.64   ,124.61   ,124.64   ,   19772.0 ,124.61031
2024-10-04 17:55:00 ,124.64   ,124.65   ,124.61   ,124.62   ,   13066.0 ,124.61828499999999
2024-10-04 17:50:00 ,124.64   ,124.65   ,124.61   ,124.6402 ,   27987.0 ,124.62379500000002
2024-10-04 17:45:00 ,124.68   ,124.69   ,124.62   ,124.64   ,   21353.0 ,124.628545
2024-10-04 17:40:00 ,124.63   ,124.69   ,124.63   ,124.6801 ,   28799.0 ,124.636555
2024-10-04 17:35:00 ,124.64   ,124.65   ,124.62   ,124.64   ,   20569.0 ,124.641555
2024-10-04 17:30:00 ,124.61   ,124.69   ,124.6    ,124.63   ,   39311.0 ,124.640805
2024-10-04 17:25:00 ,124.7    ,124.71   ,124.61   ,124.62   ,   27661.0 ,124.64130499999999
2024-10-04 17:20:00 ,124.68   ,124.73   ,124.67   ,124.7097 ,   59543.0 ,124.64578999999999
2024-10-04 17:15:00 ,124.625  ,124.69   ,124.62   ,124.68   ,   43930.0 ,124.64874
2024-10-04 17:10:00 ,124.62   ,124.63   ,124.6    ,124.63   ,   37903.0 ,124.64798999999998
2024-10-04 17:05:00 ,124.61   ,124.63   ,124.6    ,124.62   ,   28677.0 ,124.64449000000002
2024-10-04 17:00:00 ,124.61   ,124.64   ,117.4608 ,124.62   ,   43304.0 ,124.64299000000001
2024-10-04 16:55:00 ,124.6199 ,124.92   ,124.6    ,124.611  ,   98046.0 ,124.64053999999999
2024-10-04 16:50:00 ,124.63   ,124.67   ,124.58   ,124.62   ,   83556.0 ,124.63904
2024-10-04 16:45:00 ,124.65   ,124.92   ,124.63   ,124.63   ,  133053.0 ,124.63904
2024-10-04 16:40:00 ,124.67   ,124.92   ,124.63   ,124.645  ,  280782.0 ,124.638795
2024-10-04 16:35:00 ,124.66   ,124.92   ,124.63   ,124.6797 ,   55129.0 ,124.64077999999999
2024-10-04 16:30:00 ,124.65   ,124.68   ,124.63   ,124.67   ,   73064.0 ,124.64278000000002
2024-10-04 16:25:00 ,124.71   ,124.71   ,124.65   ,124.6598 ,   67922.0 ,124.644275
2024-10-04 16:20:00 ,124.92   ,124.92   ,124.65   ,124.7    ,  249214.0 ,124.647275
2024-10-04 16:15:00 ,124.63   ,124.92   ,124.62   ,124.6503 ,  111959.0 ,124.64879
2024-10-04 16:10:00 ,124.77   ,124.78   ,124.62   ,124.64   ,  124111.0 ,124.64877999999999
